Symbol,CIK,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding
AZO,866787.0,45523333000.0,3691163000.0,19.93,1.373,-204.18,0.0,0.0,121.72,844.82,0.146,0.196,0.136,0.0,16568393000.0,8472650000.0,121.72,0.069,0.086,2634.2,19.93,18.83,2.676,2.833,14.46,0.753,2610.05,1703.32,2433.96,2245.33,18765700.0,
BA,12927.0,123243422000.0,1647000000.0,6.53,-26.58,0.0,0.0,-8.29,111.91,-0.0741,-0.005,-0.0015,0.0,66608001000.0,5768000000.0,-8.29,-0.68,0.351,221.57,29.5,1.783,2.526,-34.48,1.397,223.23,113.02,195.17,159.51,598240000.0,,,
BABA,1577552.0,283170537000.0,146090000000.0,142.04,1.187,361.12,0.0,0.0,0.74,322.09,0.0162,0.117,0.0366,-0.0012,859363017000.0,314357000000.0,0.74,-0.482,0.032,142.59,142.04,9.79,0.273,1.772,0.229,2.139,0.61,129.4,58.01,98.61,92.49,2647540000.0
BAH,1443646.0,12727597000.0,845868000.0,29.88,2.29,9.11,1.72,0.0197,3.22,68.47,0.0476,0.0755,0.0696,0.378,9063726000.0,1989915000.0,3.22,-0.759,0.121,113.22,29.88,18.25,1.563,11.75,1.773,17.65,0.653,112.11,68.74,101.26,95.4,132276000.0
BAM,1001085.0,13821132000.0,2309000000.0,16.2,4.84,25.64,0.0,0.0173,2.07,59.62,0.583,0.679,0.0263,0.0,3378000000.0,2384000000.0,2.07,-0.491,-0.018,36.31,16.2,11.48,0.571,1.749,2.884,9.51,1.42,61.75,26.76,30.86,30.86,412202000.0
BBBY,886158.0,687378000.0,-612729984.0,0.609,-6.84,0.0,0.0,-5.64,73.35,-0.205,-0.148,-0.115,-6.5,6210944000.0,2620691000.0,-5.64,0.0,-0.33,1.74,16.45,0.0512,2.995,0.55,-5.88,1.539,30.06,1.27,3.049,6.57,117300000.0,,
BBWI,701985.0,10511659000.0,1976000000.0,12.24,1.584,-11.44,0.75,0.0167,3.76,32.12,0.125,0.208,0.179,0.0,7700000000.0,3855000000.0,3.76,0.222,-0.046,50.56,12.24,10.96,1.238,2.003,8.46,1.736,61.03,25.46,43.65,38.76,228415000.0,
BBY,764478.0,19464593000.0,2977000000.0,13.17,2.686,13.29,3.52,0.0393,6.68,209.48,0.0323,0.0433,0.0698,0.426,47928001000.0,11634000000.0,6.68,-0.39,-0.111,83.87,13.17,12.15,0.373,5.97,0.437,7.2,1.51,108.09,60.13,83.47,76.85,221264000.0
BCRX,882796.0,1991008000.0,-160088992.0,-0.28,-1.302,0.0,0.0,-1.072,1.291,-0.811,-0.676,-0.245,-19.25,238440000.0,-58902000.0,-1.072,0.0,0.85,16.7,8.45,56.59,9.45,-23.51,2.034,19.99,7.61,11.04,11.67,186424000.0,,,
BCS,312069.0,35793793000.0,5.93,0.231,16.61,0.062,0.0335,1.52,5.7,0.25,0.389,0.0038,0.0864,23623999000.0,22593000000.0,1.52,0.148,0.042,8.71,5.93,5.28,1.318,0.385,1.293,11.23,5.89,8.29,7.75,3967830000.0,,,
BE,1664703.0,4709669000.0,-129395504.0,33.78,0.887,0.0,0.0,-1.245,6.01,-0.267,-0.175,-0.0708,-1.521,1079020000.0,197581000.0,-1.245,0.0,0.41,28.6,833.33,4.064,26.26,4.751,-27.61,2.874,31.47,11.47,21.86,20.33,179379000.0,,
BEAM,1745999.0,3376170000.0,-145188000.0,10.38,0.0,0.0,-3.591,1.326,0.0,-1.719,-0.0788,-0.402,91952000.0,-180290000.0,-3.591,0.0,19.71,77.69,32.42,4.426,24.39,-7.47,1.685,80.0,27.77,43.04,46.53,70469000.0,,,,
BEN,38777.0,16646911000.0,2263700000.0,16.97,39.7,23.32,1.17,0.0375,1.96,16.41,0.125,0.232,0.0428,0.0691,8018400000.0,3160600000.0,1.96,-0.636,-0.116,26.36,16.97,11.25,1.574,1.18,2.189,8.22,1.278,34.37,20.01,28.19,25.83,500358000.0
BEP,1533232.0,17574597000.0,3034000000.0,3.398,21.53,0.0,0.0448,-0.511,9.94,-0.0626,0.308,0.0151,0.0055,4711000000.0,3277000000.0,-0.511,-0.434,0.088,38.82,156.25,3.658,1.741,6.88,11.52,0.764,40.78,24.13,27.69,32.88,275287000.0,,
BGNE,1651308.0,25812488000.0,-1836030976.0,0.0,44.84,0.0,0.0,-20.05,12.38,-1.684,-1.516,-0.197,-0.525,1249805000.0,-447862000.0,-20.05,0.0,0.878,298.3,16.8,4.668,14.04,-9.58,0.72,280.62,118.18,227.31,179.06,104133000.0,,,
BHP,811809.0,236023464000.0,37647999000.0,8.27,0.0,17.77,3.25,0.0927,7.98,25.85,0.472,0.504,0.202,0.429,65410998000.0,56071000000.0,7.98,1.888,0.046,71.75,8.27,10.83,3.455,3.513,3.427,5.67,0.806,71.52,44.33,64.8,57.54,2530640000.0
BIDU,1329099.0,50939326000.0,19780250000.0,0.744,622.9,0.0,0.0,-7.16,356.06,0.0349,0.109,0.0217,0.0153,123686003000.0,60346000000.0,-7.16,-0.729,0.019,169.22,13.12,0.324,1.323,0.251,-2.96,0.674,171.87,73.58,123.28,124.35,345551000.0,,
BIIB,875045.0,41512608000.0,3490600000.0,14.94,36.19,88.72,0.0,0.0,19.29,70.97,0.276,0.285,0.076,0.202,10363199000.0,8872000000.0,19.29,2.532,-0.097,322.26,14.94,18.45,3.938,3.258,4.183,10.36,0.212,311.88,187.16,286.9,240.65,144001000.0
BILI,1723690.0,8933407000.0,-5048315392.0,41.87,0.0,0.0,-3.122,54.71,-0.376,-0.373,-0.112,-0.406,21537464000.0,4043147000.0,-3.122,0.0,0.113,26.4,0.4,4.086,0.413,-1.146,1.024,39.1,8.23,23.39,21.19,382915000.0,,,,
BIO,12208.0,13661920000.0,666118000.0,1.074,283.45,0.0,0.0,-3.387,93.98,-2.152,0.191,0.0209,-0.507,2804730000.0,1665661000.0,-3.387,1.978,-0.089,592.2,28.01,4.418,1.517,4.358,-1.591,0.898,670.62,344.63,432.62,465.65,24749300.0,,
BIPC,1788348.0,4786084000.0,1432000000.0,17.72,-16.58,1.44,0.0333,2.43,16.05,0.144,0.69,0.0835,-0.172,1808000000.0,1117000000.0,2.43,0.6,0.097,17.72,2.6,1.368,4.839,5.06,1.209,52.44,37.25,42.94,44.61,110544000.0,,,
BITF,1812477.0,237710000.0,61834000.0,7.64,1.219,0.0,0.0,0.14,0.876,-1.214,0.0179,0.0056,-0.78,174989000.0,111120000.0,0.14,0.0,-0.257,7.64,13.46,0.572,0.433,3.205,-1.138,2.307,4.62,0.376,0.7,1.279,217572000.0,,
BJ,1531152.0,9798895000.0,912293000.0,20.19,1.899,7.01,0.0,0.0,3.61,139.51,0.0262,0.0383,0.0736,0.652,18743409000.0,3078690000.0,3.61,0.033,0.122,80.0,20.19,19.01,0.504,10.02,0.671,14.17,0.458,80.41,51.45,69.62,69.14,134434000.0
BK,1390777.0,40608190000.0,17.32,1.041,44.4,1.42,0.0295,2.9,20.14,0.158,0.249,0.006,0.0608,16338000000.0,16338000000.0,2.9,-0.379,-0.033,56.47,17.32,9.27,2.171,1.041,1.083,62.53,35.62,46.78,43.72,808445000.0,,,
BKE,885245.0,2236603000.0,346042000.0,8.81,48.3,8.85,1.4,0.0315,5.07,26.92,0.189,0.247,0.218,0.521,1324311000.0,773691000.0,5.07,-0.016,0.04,60.0,8.81,1.656,5.14,1.648,6.31,0.97,47.32,24.39,44.75,35.71,50092000.0,
BKNG,1075531.0,95807873000.0,5073000000.0,41.19,0.465,93.89,0.0,0.0,59.96,395.48,0.152,0.29,0.128,0.53,16022000000.0,8780000000.0,59.96,1.257,0.294,2398.01,41.19,17.15,4.759,21.21,4.879,18.64,1.298,2715.66,1616.85,2156.05,1993.29,38789400.0
BKR,1701605.0,32071580000.0,2951000000.0,79.15,1.317,14.44,0.73,0.0242,0.4,21.43,-0.0284,0.0893,0.034,-0.037,21156000000.0,4400000000.0,0.4,-0.435,0.077,36.41,79.15,16.29,1.412,1.919,1.493,17.93,1.487,38.79,20.16,29.7,28.5,1006000000.0
BLDR,1316835.0,12061072000.0,4355021000.0,4.919,0.81,35.07,0.0,0.0,16.66,132.97,0.122,0.168,0.216,0.522,23003662000.0,5850956000.0,16.66,0.584,0.046,78.64,4.919,10.89,0.433,1.841,0.575,3.028,1.979,85.4,48.91,68.67,63.43,147176000.0
BLK,1364742.0,113389249000.0,6889667000.0,22.29,13.91,246.99,19.52,0.0262,33.97,118.43,0.29,0.362,0.0307,0.13,17873000000.0,8787000000.0,33.97,-0.22,-0.151,786.08,22.29,20.88,5.63,2.876,5.82,14.7,1.28,802.06,499.68,727.91,663.7,149756000.0
BMY,14272.0,158292607000.0,19549331000.0,25.24,2.437,15.38,2.19,0.0306,2.95,21.67,0.137,0.197,0.0613,0.185,46159000000.0,36022000000.0,2.95,-0.116,-0.048,82.39,25.24,9.97,3.412,5.13,4.251,10.29,0.425,80.8,63.61,74.83,74.35,2126160000.0
BNS,9631.0,64701702000.0,8.97,2.48,61.21,4.06,0.0561,6.04,24.86,0.333,0.434,0.008,0.138,29801001000.0,29801000000.0,6.04,-0.199,-0.086,57.0,8.97,8.05,1.917,1.226,0.915,70.75,44.56,50.84,55.67,1191380000.0,,,
BNTX,1776985.0,34475831000.0,12731500000.0,3.289,0.0449,76.45,0.0,0.0133,43.19,76.34,0.556,0.681,0.428,0.762,18564801000.0,16065200000.0,43.19,-0.435,-0.431,206.28,3.289,9.89,2.38,2.332,1.685,2.138,0.197,188.99,117.08,156.97,151.11,242685000.0
BP,313807.0,105035276000.0,38102000000.0,13.74,18.49,0.229,0.038,-5.26,68.33,-0.0496,0.125,0.0608,-0.122,220870001000.0,38090000000.0,-5.26,2.084,0.518,39.6,5.49,0.468,1.801,0.579,6.55,0.651,36.69,24.79,34.97,31.75,3014790000.0,,
BR,1383312.0,18069455000.0,1196900000.0,34.9,1.858,16.17,2.645,0.0189,4.4,49.56,0.0901,0.128,0.0577,0.286,5799500000.0,1592200000.0,4.4,-0.263,0.076,161.42,34.9,19.92,2.738,8.71,3.565,19.46,0.936,181.63,130.69,143.02,148.99,117655000.0
BRK-A,1067983.0,675605840000.0,9947000000.0,59.29,9.68,310560.2,0.0,0.0,7826.65,200580.47,-0.0045,-0.003,-0.0006,-0.001,295721992000.0,114863000000.0,7826.65,-0.515,0.09,521280.0,59.29,21.46,2.23,1.505,3.041,0.899,544390.0,393010.0,470046.5,447532.5,595230.0,
BROS,1866581.0,6360238000.0,23503000.0,2.169,0.0,0.0,-0.333,13.67,-0.0088,-0.0229,-0.0119,-0.112,677265000.0,151763000.0,-0.333,0.0,0.53,40.33,86.96,7.65,14.67,3.511,109.57,66.0,20.05,33.34,35.92,45541200.0,,,,
BSX,885725.0,68263895000.0,3155666000.0,113.48,2.531,12.32,0.0,0.0,0.42,8.87,0.055,0.16,0.0425,0.0407,12682000000.0,8679000000.0,0.42,0.529,0.037,52.76,113.48,24.27,5.28,3.831,6.06,30.6,0.807,48.87,34.98,46.05,41.75,1432310000.0
BVXV,1611747.0,4902500.0,0.0,0.61,0.0,0.0,-2.296,0.0,0.0,0.0,-0.21,-4.322,0.0,0.0,-2.296,0.0,0.0,57.0,7.48,-2.067,2.502,22.9,2.37,5.22,9.53,1885600.0,,,,,,
BX,1393818.0,114880389000.0,40.35,1.267,10.78,4.4,0.0453,2.36,10.82,0.218,0.419,0.0714,0.144,8015891000.0,7053217000.0,2.36,-0.61,-0.673,101.93,40.35,14.51,7.56,7.8,6.33,1.509,133.61,71.72,83.31,94.59,710277000.0,,
BYND,1655210.0,1237875000.0,-306684000.0,5.75,-2.229,0.0,0.0,-4.033,6.92,-0.864,-0.766,-0.164,-11.67,439673000.0,117281000.0,-4.033,0.0,-0.225,10.33,666.67,2.12,59.32,3.992,-5.27,1.981,64.59,11.03,14.56,22.24,63742000.0,,
CAAS,1157762.0,243378000.0,36415000.0,10.47,0.61,9.94,0.0,0.0,0.77,17.52,0.0404,0.0215,0.0106,0.0712,539581000.0,71132000.0,0.77,2.056,0.268,7.5,10.47,16.21,0.376,0.664,0.394,4.093,2.319,9.7,2.2,6.77,4.284,30195800.0
CAG,23217.0,17592119000.0,2136200000.0,26.18,1.828,18.18,1.285,0.0358,1.41,25.08,0.0566,0.154,0.0515,0.0779,12040900000.0,2860600000.0,1.41,0.386,0.083,41.67,26.18,15.38,1.558,2.168,2.326,19.68,0.574,40.93,28.98,38.25,35.29,476622000.0
CAH,721371.0,20192182000.0,2256000000.0,0.646,-6.8,1.973,0.0262,-3.377,680.0,-0.0059,0.0084,0.0226,0.0,186998997000.0,6545000000.0,-3.377,-0.574,0.128,85.85,14.68,0.11,16.07,0.118,-111.07,0.788,81.05,48.57,77.99,67.09,262134000.0,,
CAKE,887596.0,2028523000.0,176146000.0,41.53,2.301,6.26,0.54,0.028,0.95,63.55,0.0152,0.0275,0.0201,0.15,3187047000.0,1206379000.0,0.95,0.364,0.039,34.92,41.53,11.51,0.542,5.46,1.087,23.95,1.391,43.58,25.63,35.3,32.66,51420000.0
CASY,726958.0,8337730000.0,920106000.0,20.21,2.201,67.44,1.46,0.0068,11.07,401.51,0.0277,0.041,0.0693,0.179,14940878000.0,2762714000.0,11.07,0.417,0.219,256.58,20.21,23.58,0.603,3.627,0.694,11.48,0.809,249.49,169.65,232.14,214.07,37258600.0
CAT,18230.0,130841231000.0,11022000000.0,19.89,1.557,30.67,4.71,0.0194,12.64,112.79,0.113,0.148,0.0668,0.414,59427000000.0,15565000000.0,12.64,-0.286,0.203,249.17,19.89,15.9,2.12,7.83,2.688,12.79,1.097,266.04,158.78,242.99,208.14,520409000.0
CBOE,1374310.0,13392853000.0,1096300000.0,56.36,1.75,31.05,1.94,0.0163,2.24,35.85,0.0631,0.246,0.0789,0.071,3820200000.0,1476100000.0,2.24,0.258,0.216,143.0,56.36,17.27,3.447,4.006,3.876,23.66,0.547,130.52,102.52,124.4,119.4,106082000.0
