Symbol,CIK,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding
ENLC,1592000.0,5979149000.0,1296500000.0,23.82,-113.19,2.651,0.45,0.0396,0.53,20.2,0.0263,0.0688,0.048,0.133,9745100000.0,1655100000.0,0.53,43.1,0.451,13.89,23.82,24.69,0.551,4.465,1.044,8.0,2.507,13.45,7.53,12.41,10.7,473596000.0
ENPH,1463101.0,30309693000.0,402303000.0,109.85,2.197,4.49,0.0,0.0,2.03,14.95,0.147,0.176,0.0902,0.471,2018920000.0,554422000.0,2.03,4.155,0.806,300.21,109.85,69.44,21.14,74.15,22.34,110.55,1.335,339.92,118.57,272.56,248.57,135924000.0
ENR,1632790.0,2529197000.0,552700000.0,11.58,1.5,1.832,0.0,0.0339,3.06,43.63,0.0,0.0,0.0576,-0.952,3050100000.0,1136500000.0,3.06,2.042,0.032,38.3,11.58,11.57,0.793,19.14,1.94,-232.02,0.983,37.89,24.58,35.11,30.71,71406000.0
ENV,1337619.0,3742257000.0,86860000.0,3.499,17.0,0.0,0.0,-0.304,23.03,-0.0391,-0.0041,-0.0015,-0.0561,1266531000.0,329965000.0,-0.304,6.0,0.012,65.5,27.86,2.607,3.599,3.252,54.46,1.202,84.58,41.72,62.51,57.7,55326000.0,,
ENVX,1828318.0,1428075000.0,-106878000.0,16.83,2.281,0.0,0.0,0.54,0.034,0.0,-21.84,-0.158,-0.367,5109000.0,-1967000.0,0.54,0.0,0.0,30.5,16.83,333.95,4.977,282.36,-12.05,1.445,26.3,6.5,10.15,13.37,157104000.0,,
ENZ,316253.0,66260000.0,-20260000.0,0.0,0.923,0.0,0.0,-0.14,2.031,-0.269,-0.235,-0.15,-0.476,98828000.0,41967000.0,-0.14,0.0,-0.311,5.5,0.572,1.365,0.696,-3.294,0.875,3.51,1.11,1.536,2.138,48720500.0,,,
EOG,821189.0,72736506000.0,13575999000.0,9.72,2.465,40.61,3.0,0.0265,12.74,49.78,0.257,0.332,0.155,0.327,29034000000.0,13034000000.0,12.74,1.585,0.452,154.93,9.72,7.87,2.562,2.997,2.474,5.38,1.517,148.16,88.87,130.12,123.86,587390000.0
EQIX,1101239.0,66981851000.0,2438837000.0,94.74,3.328,120.54,12.17,0.0171,7.64,72.65,0.106,0.107,0.0155,0.0643,6610006000.0,2787604000.0,7.64,0.369,0.075,759.43,94.74,72.46,9.68,5.84,11.07,27.26,0.629,765.54,492.49,692.55,654.69,92538000.0
EQNR,1140625.0,92308169000.0,82633998000.0,3.826,3.138,13.57,0.8,0.0275,7.55,46.03,0.164,0.501,0.319,0.607,147287998000.0,44986000000.0,7.55,5.91,0.849,40.65,3.826,6.28,0.786,2.715,0.689,1.152,0.527,40.5,26.6,33.86,35.16,3118130000.0
ERNA,748592.0,24097200.0,-28872000.0,2.995,0.0,0.0,0.0,0.0,0.0,-0.602,-2.566,0.0,0.0,0.0,0.0,0.0,3.0,2.45,-0.408,51.4,2.735,4.103,8.38,5127100.0,,,,,,,,
ESLT,1027664.0,7382450000.0,486396000.0,37.0,2.21,58.66,2.0,0.0121,4.46,124.17,0.0361,0.059,0.0218,0.0778,5499392000.0,1358048000.0,4.46,-0.394,-0.011,190.0,37.0,1.354,2.867,1.566,17.2,-0.0038,243.46,162.35,170.89,199.28,44344800.0,
ETN,1551182.0,64566596000.0,3787000000.0,28.43,2.11,40.4,3.19,0.0198,5.71,50.56,0.114,0.141,0.0517,0.143,20166001000.0,6335000000.0,5.71,-0.032,0.079,169.18,28.43,19.42,3.064,3.994,3.625,19.39,1.147,167.51,121.21,159.94,146.27,397700000.0
ETSY,1370637.0,18092161000.0,462100000.0,52.73,3.564,-4.824,0.0,0.0,2.73,19.43,-0.259,0.159,0.0826,0.739,2476009000.0,1674602000.0,2.73,-0.251,0.117,130.72,52.73,37.59,6.38,21.42,7.25,35.6,1.861,163.84,67.01,129.68,104.95,125688000.0
EVA,1592057.0,3221404000.0,70533000.0,0.0,6.42,3.575,0.0786,-4.024,17.89,-0.131,-0.036,-0.0127,-0.43,1131231000.0,195505000.0,-4.024,15.21,0.369,64.5,3.252,8.93,4.84,-3855.53,1.111,87.38,43.6,51.76,63.25,66966000.0,,,
EVGO,1821159.0,1651941000.0,-106289000.0,-15.04,0.0,0.0,-0.293,0.503,-1.022,-3.97,-0.115,-0.237,34404000.0,5156000.0,-0.293,-0.896,0.7,10.65,41.62,90.14,3.68,-1.225,1.902,14.23,3.64,5.41,7.66,69359000.0,,,,
EVOK,1403708.0,15344700.0,-0.1,1.655,0.0,0.0,-2.985,0.694,0.0,-3.678,-0.38,-1.571,2072800.0,1290000.0,-2.985,0.0,-0.106,63.5,3.048,1.033,0.0648,0.195,0.419,10.54,1.372,2.81,2.824,3343100.0,,,,
EVR,1360901.0,5202310000.0,11.54,1.325,36.35,2.88,0.0215,11.61,70.42,0.172,0.253,0.227,0.33,2762048000.0,2638878000.0,11.61,-0.505,-0.255,125.33,11.54,9.7,1.358,2.962,1.003,6.32,1.541,137.18,78.16,117.54,104.15,38837700.0,
EW,1099800.0,48898179000.0,1928133000.0,33.66,3.065,9.47,0.0,0.0,2.35,8.7,0.283,0.332,0.133,0.261,5382400000.0,4302000000.0,2.35,0.227,0.014,87.95,33.66,30.12,8.48,7.54,8.54,23.19,0.995,131.1,67.13,76.32,88.6,618260000.0
EXAS,1124140.0,11929703000.0,-413918016.0,-1.07,17.54,0.0,0.0,-4.325,11.45,-0.357,-0.303,-0.0586,-0.218,2005096000.0,1308330000.0,-4.325,0.0,0.146,65.0,3.953,2.603,4.922,-18.94,1.333,84.31,29.27,54.9,45.74,177684000.0,,,
EXEL,939767.0,5577080000.0,383066000.0,18.59,0.316,7.72,0.0,0.0,0.93,5.12,0.188,0.224,0.0846,0.134,1638285000.0,1382097000.0,0.93,0.894,0.254,25.44,18.59,10.58,3.111,2.042,2.258,9.66,0.719,23.4,14.87,16.63,18.24,322561000.0
EXPE,1324424.0,18528002000.0,1449000000.0,40.37,0.212,14.49,0.0,0.0171,2.94,72.51,0.0495,0.11,0.0355,0.154,11328000000.0,7076000000.0,2.94,0.319,0.222,125.85,40.37,11.07,1.243,6.39,1.448,8.55,1.573,217.72,82.39,99.82,107.47,150567000.0
F,37996.0,52378407000.0,14139000000.0,5.87,0.383,10.85,0.5,0.0419,2.24,39.38,-0.0125,0.0485,0.0187,-0.0469,158057005000.0,17215000000.0,2.24,-0.894,0.168,13.6,5.87,7.35,0.345,1.287,0.948,7.04,1.52,18.13,10.39,12.81,13.29,3915330000.0
FANG,1539838.0,25177590000.0,7306000000.0,5.73,1.201,78.82,8.96,0.0625,24.16,51.51,0.48,0.658,0.162,0.34,9126000000.0,5577000000.0,24.16,0.893,0.304,178.52,5.73,5.37,2.739,1.798,3.137,4.19,2.034,166.66,99.96,140.96,136.6,181919000.0
FANH,1413855.0,405008000.0,184841000.0,62.83,0.0,29.05,0.912,0.0796,0.12,52.45,0.0144,0.059,0.0348,0.0211,2816878000.0,1155947000.0,0.12,0.0,-0.086,6.0,62.83,20.41,0.147,1.861,0.11,1.857,0.067,8.79,4.31,7.11,5.67,53715000.0
FCN,887936.0,5692204000.0,329080000.0,26.63,1.61,48.89,0.0,0.0,6.21,87.0,0.0772,0.0968,0.0583,0.142,2930708000.0,860715000.0,6.21,0.097,0.105,193.5,26.63,1.849,3.433,1.995,17.25,0.284,190.43,132.36,161.86,166.3,34423100.0,
FCX,831259.0,61389726000.0,9098000000.0,17.97,0.2,10.88,0.6,0.0139,2.39,15.7,0.152,0.311,0.0893,0.187,22780000000.0,9710000000.0,2.39,-0.353,-0.066,44.3,17.97,24.81,2.431,3.769,2.522,5.96,2.002,51.1,24.59,40.97,34.82,1429330000.0
FDX,1048911.0,54182060000.0,9449000000.0,16.81,1.22,95.54,4.2,0.0228,12.77,363.29,0.0354,0.0571,0.0396,0.136,94091002000.0,23411000000.0,12.77,-0.209,-0.028,198.85,16.81,11.59,0.476,1.784,0.798,8.07,1.325,245.75,140.97,182.06,195.49,252397000.0
FHI,1056288.0,3584723000.0,365059000.0,15.2,2.41,12.34,1.08,0.0268,2.65,16.86,0.166,0.233,0.104,0.205,1445814000.0,933101000.0,2.65,-0.114,0.162,40.8,15.2,11.4,2.28,3.321,2.331,8.33,1.029,41.2,27.2,37.6,34.3,88986000.0
FICO,814547.0,16940500000.0,584244000.0,45.63,2.71,-31.89,0.0,0.0,14.76,54.87,0.276,0.404,0.242,0.356,1399779000.0,1075096000.0,14.76,0.243,0.07,714.38,45.63,30.49,10.85,82.33,12.29,30.19,1.268,710.0,340.48,619.39,481.95,25154800.0
FIVE,1177609.0,11059995000.0,405781000.0,48.12,1.425,21.34,0.0,0.0,4.14,53.0,0.0781,0.104,0.0641,0.208,2949889000.0,1030444000.0,4.14,-0.326,0.062,201.0,48.12,30.86,3.304,8.4,3.836,27.89,1.137,202.94,109.49,180.52,147.49,55514000.0
FL,850209.0,4329135000.0,928000000.0,4.76,-71.36,34.85,1.5,0.0344,4.395,91.35,0.0487,0.0818,0.056,12.93,8754000000.0,3064000000.0,4.45,-0.336,-0.007,41.5,10.42,8.98,0.373,1.045,0.714,7.27,1.213,47.22,23.18,38.75,33.18,93320000.0
FNV,1456346.0,26428680000.0,1114300000.0,34.6,11.81,32.62,1.26,0.0096,3.96,6.9,0.573,0.681,0.0904,0.125,1320700000.0,1121700000.0,3.96,-0.056,-0.039,144.38,34.6,39.68,20.0,4.409,19.91,22.03,0.612,168.11,109.45,142.18,134.28,191665000.0
FORR,1023313.0,735407000.0,65740000.0,23.11,1.017,11.23,0.0,0.0,1.67,28.16,0.0588,0.0883,0.0476,0.152,534624000.0,292500000.0,1.67,0.217,0.081,49.5,23.11,14.24,1.234,3.146,1.23,8.08,0.934,59.56,32.73,35.75,42.03,19052000.0
FOX,1754301.0,17916443000.0,2966000000.0,16.15,2.017,21.16,0.49,0.0157,1.97,25.23,0.0785,0.182,0.0704,0.0968,14121000000.0,4857000000.0,1.97,-0.091,0.048,51.5,16.15,8.59,1.145,1.402,1.382,8.35,0.884,40.33,26.35,29.78,30.48,240219000.0
FRBA,267462000.0,7.72,0.0,14.89,0.24,0.0175,1.78,4.851,0.384,0.523,0.0138,0.131,94621000.0,94621000.0,1.78,0.152,0.111,17.0,7.72,8.34,2.964,0.956,0.761,16.7,12.93,14.12,14.47,19451800.0,,,,
FSLR,1274494.0,17930064000.0,261134000.0,180.85,1.576,54.67,0.0,0.0,0.93,23.71,0.0375,-0.0013,-0.0003,0.0163,2524247000.0,740154000.0,0.93,-0.325,0.078,172.99,180.85,35.34,6.73,2.761,5.74,31.58,1.332,185.28,59.6,163.5,117.66,106606000.0
FSM,1341335.0,1048033000.0,289319000.0,32.82,0.0,4.784,0.0,0.0,0.11,2.453,0.0564,0.161,0.0356,0.0288,715704000.0,205477000.0,0.11,-0.909,0.025,9.0,32.82,20.12,1.561,0.796,1.739,4.638,1.228,4.68,2.05,3.772,3.119,290182000.0
FTEK,846913.0,47262200.0,-991000.0,0.0,1.48,0.0,0.0,-0.044,0.871,-0.0487,-0.0568,-0.0186,-0.0281,26371000.0,11898000.0,-0.044,-0.5,0.061,4.0,14.01,1.723,0.987,0.679,-23.8,4.307,1.75,1.02,1.481,1.32,30296300.0,,
FTNT,1262039.0,41405506000.0,924400000.0,57.61,1.986,-0.814,0.0,0.0,0.92,5.12,0.181,0.201,0.0909,2.892,4098000000.0,2559200000.0,0.92,0.526,0.326,63.97,57.61,39.37,9.95,231.83,10.17,45.53,1.142,71.52,42.61,50.97,53.91,781236000.0
FVRR,1762301.0,1632652000.0,-52386000.0,6.52,0.0,0.0,-1.774,9.12,-0.269,-0.19,-0.0434,-0.304,333991000.0,245939000.0,-1.774,0.0,0.111,40.0,625.0,3.432,4.733,3.418,-23.99,1.723,94.37,26.16,32.94,35.81,37122600.0,,,
FXLV,1788717.0,307518000.0,-44186000.0,31.6,0.436,0.0,0.0,0.1,1.779,-0.453,-0.298,-0.162,-1.012,171190000.0,100129000.0,0.1,0.0,0.079,3.75,31.6,23.81,1.865,7.64,2.312,-8.45,15.78,0.786,2.898,3.761,97316000.0,,
FXNC,719402.0,109573000.0,7.77,0.0,17.3,0.56,0.0327,2.25,9.02,0.298,0.375,0.0122,0.149,56375000.0,56375000.0,2.25,1.169,0.172,21.0,7.77,7.59,1.956,1.128,0.622,21.56,13.35,17.6,17.83,6262400.0,,,
GAIA,1089872.0,62419000.0,16364000.0,300.0,2.177,4.294,0.0,0.0,0.01,4.088,-0.0011,0.0102,0.0042,0.0025,83287000.0,69047000.0,0.01,-0.878,-0.024,8.0,300.0,32.68,0.666,0.582,0.738,4.296,0.916,7.49,2.05,2.868,3.467,15406200.0
GD,40533.0,63759401000.0,5095000000.0,19.06,1.917,67.8,5.04,0.0218,12.19,143.14,0.086,0.107,0.0518,0.187,39407002000.0,4211000000.0,12.19,0.054,0.054,268.0,19.06,17.79,1.732,3.873,2.033,15.21,0.825,255.49,204.68,243.42,233.17,274411000.0
GE,40545.0,89555231000.0,6436999000.0,154.64,0.741,33.33,0.32,0.0039,0.53,69.85,0.0029,0.0352,0.0087,0.0236,76556001000.0,18287000000.0,0.53,3.951,0.07,86.94,154.64,18.15,1.147,2.829,1.339,112.71,1.227,84.03,46.66,71.07,60.58,1092670000.0
GEHC,1932393.0,32675461000.0,3155000000.0,16.87,0.0,0.0,4.26,0.0,0.104,0.138,0.0585,0.147,18340999000.0,7179000000.0,4.26,0.0,0.076,16.87,73.95,53.0,63.14,63.14,454710000.0,,,,,,,,,
GEO,923796.0,1402895000.0,487435000.0,20.93,0.899,9.23,0.0,0.084,0.54,19.14,0.0348,0.152,0.0531,0.0755,2313584000.0,627566000.0,0.54,0.09,0.107,14.67,20.93,8.99,0.565,1.225,1.46,6.7,0.68,12.44,5.21,11.16,8.41,124150000.0
GETY,1898496.0,2246339000.0,302345000.0,63.0,1.322,0.0,0.0,0.11,5.07,-0.109,0.219,0.0651,0.081,933831000.0,670536000.0,0.11,-0.625,-0.028,7.65,63.0,1.76,3.556,9.4,2.645,37.88,4.511,5.47,10.23,319007000.0,,,
GFI,1172724.0,9634391000.0,2375400000.0,10.7,0.0,4.764,0.331,0.0292,1.01,5.0,0.205,0.368,0.136,0.225,4446900000.0,1707900000.0,1.01,0.308,0.127,12.8,10.7,12.36,2.147,2.259,2.322,4.461,0.586,16.63,7.03,11.27,9.97,891248000.0
GFS,1709048.0,33516542000.0,2583403000.0,41.83,16.59,0.0,0.0,1.47,14.72,0.105,0.123,0.0404,0.105,7854079000.0,1013269000.0,1.47,60.0,0.22,68.93,41.83,27.86,4.293,3.949,4.481,13.37,79.49,36.81,59.45,55.31,545073000.0,,
GIB,1061574.0,21721475000.0,2312520000.0,19.71,1.552,33.41,0.0,0.0,4.61,55.67,0.112,0.161,0.0866,0.199,13225077000.0,4062291000.0,4.61,0.074,0.116,105.03,19.71,17.83,1.575,3.897,1.777,8.3,0.858,91.5,72.23,86.41,82.21,211978000.0
GIC,945114.0,1071158000.0,117300000.0,12.71,1.86,5.32,0.7,0.0255,2.22,30.71,0.0925,0.0973,0.157,0.478,1167600000.0,374300000.0,2.22,-0.132,0.076,48.0,12.71,0.768,4.692,0.89,8.88,0.912,36.86,22.12,24.89,29.37,37957400.0,
GILD,882095.0,105983279000.0,12775000000.0,32.01,0.716,16.81,2.9,0.0348,2.64,21.62,0.123,0.393,0.103,0.156,27136000000.0,21779000000.0,2.64,-0.307,-0.051,87.54,32.01,13.19,4.002,5.32,4.856,17.34,0.426,89.29,54.82,85.76,70.38,1254240000.0
GIS,40704.0,45506179000.0,3762500000.0,16.11,3.106,17.15,2.1,0.0286,4.79,32.19,0.15,0.166,0.0628,0.282,19367201000.0,6405500000.0,4.79,0.041,0.039,81.79,16.11,20.92,2.692,4.818,3.23,15.6,0.304,87.79,59.98,82.83,76.79,589611000.0
GM,1467858.0,57361543000.0,16926000000.0,6.71,1.073,47.91,0.18,0.0092,6.13,108.47,0.0634,0.0669,0.0258,0.141,156734996000.0,21154000000.0,6.13,0.213,0.284,47.43,6.71,6.29,0.363,0.835,0.929,5.78,1.355,51.56,30.19,37.17,36.82,1394640000.0
GMAB,1434265.0,25236908000.0,4762500000.0,30.13,1.21,40.87,0.0,0.0,1.27,18.32,0.472,0.376,0.103,0.236,11987000000.0,8482000000.0,1.27,1.908,0.769,43.75,30.13,35.34,2.463,8.01,2.203,3.589,0.753,47.5,26.19,42.55,36.65,659616000.0
GME,1326380.0,7267231000.0,-436600000.0,0.86,4.095,0.0,0.0,-6.29,19.59,-0.0854,-0.0853,-0.0897,-0.339,5954700000.0,1347800000.0,-6.29,2.689,-0.085,12.65,36.76,1.053,5.14,0.996,-13.14,-0.0725,49.85,15.41,21.3,27.97,304578000.0,,
GNRC,1474735.0,7757358000.0,785155000.0,17.57,2.034,36.6,0.0,0.0,6.97,72.33,0.103,0.14,0.0855,0.227,4582576000.0,1360082000.0,6.97,-0.57,0.154,149.0,17.57,13.97,1.284,2.764,1.714,10.09,1.158,329.5,86.29,104.13,181.15,63356000.0
GOEV,1750153.0,390253000.0,-553484992.0,0.76,0.0,0.0,-1.985,0.0,0.0,0.0,-0.667,-1.583,0.0,1880000.0,-1.985,0.0,0.0,5.25,937.68,1.938,795.13,-0.853,1.179,6.44,0.988,1.235,2.442,356395000.0,,,,
GOLD,756894.0,32547029000.0,5804000000.0,17.15,10.07,13.54,0.4,0.03,1.07,6.5,0.164,0.33,0.0512,0.0927,11549000000.0,4917000000.0,1.07,-0.301,-0.106,22.18,17.15,22.17,2.54,1.224,2.53,4.544,0.149,25.24,12.88,17.93,17.45,1762040000.0
GOOG,1652044.0,1322181067000.0,90770997000.0,23.46,1.344,19.93,0.0,0.0,4.41,21.65,0.212,0.265,0.129,0.236,282836009000.0,156633000000.0,4.41,-0.314,0.01,123.1,23.46,17.83,4.179,4.864,4.057,12.16,1.086,144.16,83.45,94.6,105.37,5968000000.0
GOOS,1690511.0,2230092000.0,170400000.0,44.17,3.02,4.628,0.0,0.0,0.48,10.87,0.0582,0.114,0.0501,0.137,1146900000.0,733600000.0,0.48,-0.086,-0.016,20.27,44.17,10.93,1.674,7.83,2.223,10.93,1.57,34.45,14.51,19.6,19.03,53556000.0
GOTU,1768259.0,862537000.0,342961000.0,27.75,11.73,0.0,0.0,0.12,12.19,0.0727,0.0601,0.0244,0.0815,3142850000.0,4164143000.0,0.12,0.0,-0.456,2.41,27.75,526.32,0.213,1.296,0.0307,0.511,-0.851,4.505,0.64,2.853,1.793,259020000.0,
GPC,40987.0,23881615000.0,2103517000.0,20.33,1.918,26.0,3.5,0.0212,8.32,150.77,0.0555,0.0829,0.0729,0.345,21375531000.0,6634136000.0,8.32,0.384,0.178,168.1,20.33,20.83,1.181,6.9,1.342,14.45,0.952,187.73,112.84,174.22,156.03,141161000.0
GPS,39911.0,5315113000.0,531000000.0,97.07,1.31,7.04,0.57,0.0405,0.15,43.14,0.0035,-0.0002,-0.0001,0.0205,15898000000.0,8013000000.0,0.15,-0.324,0.024,12.0,97.07,18.15,0.301,1.972,0.666,20.73,1.921,16.84,7.55,13.22,11.02,365049000.0
GRMN,1121788.0,18871237000.0,1239206000.0,19.69,1.805,30.59,2.92,0.0297,5.0,25.66,0.195,0.217,0.0885,0.165,4945520000.0,2890459000.0,5.0,-0.187,-0.043,107.2,19.69,16.31,3.593,3.123,3.437,13.72,0.962,125.28,75.79,95.33,95.09,191664000.0
GSK,1131399.0,72120033000.0,8731000000.0,13.1,1.125,5.26,0.0,0.0534,2.69,14.56,0.51,0.219,0.0578,0.313,29323999000.0,19770000000.0,2.69,0.979,-0.226,44.11,13.1,9.8,1.864,6.55,2.364,9.27,0.292,46.48,28.19,35.18,37.09,2047120000.0
GTLB,1653482.0,7519431000.0,-200272000.0,5.1,0.0,0.0,-1.485,2.575,-0.473,-0.541,-0.119,-0.228,379225000.0,222668000.0,-1.485,0.0,0.691,65.86,19.28,9.65,16.99,-32.09,80.84,30.74,45.24,49.56,91200000.0,,,,,
HAL,45012.0,34787283000.0,3943000000.0,22.02,0.927,8.77,0.48,0.0167,1.74,22.45,0.0775,0.148,0.0824,0.217,20297001000.0,3259000000.0,1.74,-0.215,0.305,49.15,22.02,12.95,1.754,4.355,2.115,13.1,2.141,43.67,23.22,38.55,34.13,908047000.0
HAS,46080.0,8525777000.0,1015200000.0,20.71,1.406,21.55,2.78,0.0454,2.98,44.62,0.067,0.124,0.0482,0.137,6191600000.0,3243900000.0,2.98,-0.492,-0.149,73.0,20.71,10.82,1.321,2.783,1.897,7.68,0.718,101.08,54.0,61.49,73.97,138114000.0
HBI,1359841.0,2121610000.0,854643000.0,6.02,10.58,1.934,0.6,0.0689,1.01,18.59,0.0539,0.115,0.0644,0.541,6512713000.0,2661797000.0,1.01,-0.466,-0.066,5.89,6.02,6.35,0.319,3.283,0.955,9.34,1.467,15.58,5.65,6.97,9.15,348949000.0
HCA,860730.0,71674413000.0,12022000000.0,13.24,1.366,-9.69,2.24,0.0093,19.15,204.41,0.0937,0.15,0.11,0.965,60232999000.0,23177000000.0,19.15,0.266,0.029,278.73,13.24,13.44,1.133,293.44,1.8,8.61,1.631,276.76,163.65,246.75,214.78,282717000.0
HCSG,731012.0,1035750000.0,43703000.0,49.93,2.325,5.7,0.853,0.0622,0.28,22.69,0.0122,0.0206,0.0287,0.0456,1686603000.0,226877000.0,0.28,-0.966,-0.003,13.58,49.93,20.92,0.555,2.312,0.531,20.32,0.368,19.69,11.55,13.11,14.69,74088000.0
HD,354950.0,335588688000.0,27324000000.0,19.85,1.722,1.273,7.6,0.0229,16.59,153.04,0.109,0.155,0.203,0.146,157291004000.0,50832000000.0,16.59,0.082,0.056,340.88,19.85,19.68,2.123,261.81,2.461,14.29,0.938,358.44,261.22,321.79,300.67,1019190000.0
HDB,1144967.0,123456193000.0,26.04,0.97,235.9,0.0,0.0088,2.55,95.7,0.412,0.549,0.0201,16.55,1063617167000.0,911858100000.0,2.55,0.194,0.224,80.0,26.04,20.96,0.127,4.194,0.777,71.76,49.52,68.19,61.7,1859280000.0,,,
HHC,1498828.0,4281996000.0,635922000.0,18.9,5.55,70.43,0.0,0.0,4.54,37.9,0.127,0.227,0.0288,0.0669,1932159000.0,565718000.0,4.54,30.23,1.918,100.0,18.9,33.11,1.998,1.106,4.258,13.13,1.432,105.51,50.9,78.44,72.5,49900900.0
HLI,1302215.0,6699663000.0,25.9,6.54,22.45,2.02,0.021,3.77,28.88,0.141,0.193,0.0909,0.169,1835490000.0,2205423000.0,3.77,-0.646,-0.486,95.8,25.9,15.06,2.739,4.442,2.695,10.3,0.796,112.64,73.33,94.51,86.11,50351000.0,
HLIT,851310.0,1576649000.0,61653000.0,57.4,-0.21,2.954,0.0,0.0,0.25,5.95,0.0451,0.079,0.044,0.0909,624957000.0,316417000.0,0.25,-0.721,0.055,19.17,57.4,19.19,2.43,4.71,2.445,24.79,0.925,15.8,8.25,14.11,11.8,109871000.0
HMC,715153.0,41300808000.0,2181741019000.0,8.28,8.66,6818.42,180.0,0.0562,2.95,9145.59,0.0419,0.0564,0.0231,0.0666,15649772405000.0,2984773000000.0,2.95,0.148,0.25,29.09,8.28,6.38,0.0026,0.484,0.0045,0.0413,0.795,30.7,21.43,23.89,24.49,1691810000.0
HOG,793952.0,7380830000.0,1061890000.0,10.18,1.591,19.88,0.63,0.0125,4.96,38.88,0.129,0.158,0.0504,0.271,5755130000.0,1848283000.0,4.96,1.124,0.124,50.56,10.18,9.35,1.169,2.374,2.169,11.07,1.434,51.77,29.58,44.82,39.36,146184000.0
HOLX,859737.0,20794364000.0,1682300000.0,21.57,0.933,20.66,0.0,0.0,3.91,17.86,0.222,0.285,0.0858,0.206,4465900000.0,3310500000.0,3.91,-0.615,-0.27,87.54,21.57,21.41,3.792,3.826,3.956,9.1,1.027,85.31,59.78,77.75,72.28,246554000.0
HON,773840.0,136272945000.0,8499000000.0,25.95,2.053,26.34,3.92,0.0199,7.81,51.26,0.154,0.209,0.0734,0.296,34937000000.0,10998000000.0,7.81,0.267,0.056,218.48,25.95,23.47,4.021,8.15,4.39,17.99,1.135,220.96,165.7,211.73,194.4,672322000.0
HOOD,1783879.0,8858155000.0,138119000.0,7.86,0.0,0.0,-4.043,1.538,-0.958,-0.946,-0.0585,-0.179,1341143000.0,1289671000.0,-4.043,0.0,-0.011,11.45,5.4,1.159,2.45,-2.867,16.49,6.81,9.14,9.55,835675000.0,,,,,
HP,46765.0,4737487000.0,594954000.0,31.71,0.0865,26.17,1.0,0.0315,1.43,22.49,0.0656,0.0853,0.0287,0.0559,2368799000.0,632355000.0,1.43,16.31,0.756,60.5,31.71,11.76,2.423,1.831,2.573,11.69,1.691,54.45,31.33,48.22,45.59,104465000.0
HPE,1645590.0,20656529000.0,4780000000.0,24.42,0.844,15.51,0.48,0.0294,0.66,21.87,0.0305,0.0807,0.025,0.0435,28495999000.0,9506000000.0,0.66,0.069,0.07,17.29,24.42,7.67,0.699,1.017,1.036,8.33,1.2,17.25,11.81,16.14,14.62,1281820000.0
HPQ,47217.0,29965275000.0,6030000000.0,10.0,8.51,-2.978,1.0,0.0352,3.05,60.68,0.0509,0.0834,0.085,0.0,62983000000.0,12335000000.0,3.05,0.174,-0.112,29.34,10.0,8.46,0.418,0.588,6.63,1.019,40.48,23.86,28.31,30.95,982146000.0,
HRL,48465.0,24938791000.0,1548174000.0,25.08,3.334,13.79,1.04,0.0243,1.82,22.86,0.0803,0.103,0.0618,0.138,12458806000.0,2164686000.0,1.82,0.0,-0.05,46.24,25.08,24.63,2.004,3.373,2.225,17.29,0.177,54.18,43.47,46.14,47.6,546424000.0
HRMY,1802665.0,2953720000.0,123281000.0,19.3,5.8,0.0,0.0,2.58,6.8,0.388,0.253,0.122,0.628,400760000.0,249922000.0,2.58,0.625,0.452,66.13,19.3,25.64,8.31,10.12,8.39,27.25,0.634,62.09,33.04,53.92,49.56,59318000.0,
HSBC,1089113.0,143732179000.0,12.2,0.579,2.0,0.27,0.0365,2.95,0.576,0.286,0.32,0.0046,0.0703,46226002000.0,50480000000.0,2.95,-0.434,-0.168,43.37,12.2,6.25,2.58,0.688,0.576,37.5,24.77,32.84,30.99,3993670000.0,,,
HSY,47111.0,49328615000.0,2685795000.0,30.22,4.018,16.07,3.874,0.0172,7.96,50.69,0.158,0.222,0.135,0.543,10419294000.0,4502829000.0,7.96,0.185,0.14,250.36,30.22,26.67,4.758,15.7,5.28,22.27,0.347,242.63,190.5,229.63,224.28,146969000.0
HTHT,1483994.0,14868161000.0,590000000.0,46.26,27.93,0.0,0.0071,-0.405,43.38,-0.16,-0.0687,-0.0093,-0.216,13504000000.0,1503000000.0,-0.405,0.025,0.162,49.02,37.74,1.024,11.19,1.497,-345.84,1.016,50.99,21.84,43.52,36.58,317456000.0,,
HUBS,1404655.0,17714768000.0,-79059000.0,2.878,18.79,0.0,0.0,-1.36,34.19,-0.0696,-0.0637,-0.0298,-0.131,1630622000.0,1041801000.0,-1.36,0.0,0.309,372.89,98.04,9.34,15.61,8.34,-313.03,1.585,596.17,245.03,306.66,314.09,48576200.0,,
