time,sentiment,weekly_sentiment,monthly_sentiment,open,high,low,close,adjusted_close,volume,30_day_MA,50_day_MA,100_day_MA,200_day_MA,4_week_high,4_week_low,10_week_high,10_week_low,52_week_high,52_week_low
2022-07-15,0.18056943346909288,0.19713721279272514,0.059614314294950406,255.72,260.3699,254.7727,256.72,255.456185035498,29774050.0,258.1714186631864,258.1714186631864,275.16114460650743,294.5378906936069,271.158501177053,241.067370624415,308.596529124056,241.067370624415,339.886189703787,223.244581041014
2022-07-14,0.23234431164928254,0.18994758342195286,0.05313769865813533,250.57,255.1374,245.94,254.08,252.829181574553,25102823.0,258.6921756623888,258.6921756623888,275.4647337671757,294.66232750422654,271.158501177053,241.067370624415,312.656487320522,241.067370624415,339.886189703787,223.244581041014
2022-07-13,0.2550788207471619,0.16918237349049667,0.046669540590889576,250.19,253.55,248.11,252.72,251.475876761339,29497423.0,259.2822563640328,259.2822563640328,275.8223872972947,294.85255273891664,273.228261479616,241.067370624415,312.656487320522,241.067370624415,339.886189703787,223.244581041014
2022-07-12,0.049446052196831396,0.1429657455708151,0.03537411495816985,265.88,265.94,252.04,253.67,252.421199976452,35868450.0,259.9628890789139,259.9628890789139,276.2806297028881,295.0751543236866,273.228261479616,241.067370624415,312.656487320522,241.067370624415,339.886189703787,223.244581041014
2022-07-11,0.10654536657853889,0.14692257536742842,0.03345777345346097,265.65,266.53,262.18,264.51,263.207835399422,19519108.0,260.36854883052195,260.36854883052195,276.73288599085345,295.2940675285708,273.228261479616,241.067370624415,312.656487320522,241.067370624415,339.886189703787,223.244581041014
2022-07-10,0.20048754455973586,0.13346145065281584,0.03874282057511825,265.65,266.53,262.18,264.51,263.207835399422,19519108.0,260.36854883052195,260.36854883052195,276.73288599085345,295.2940675285708,273.228261479616,241.067370624415,312.656487320522,241.067370624415,339.886189703787,223.244581041014
2022-07-09,0.3554889603484324,0.07287929521989671,0.030064917392616464,265.65,266.53,262.18,264.51,263.207835399422,19519108.0,260.36854883052195,260.36854883052195,276.73288599085345,295.2940675285708,273.228261479616,241.067370624415,312.656487320522,241.067370624415,339.886189703787,223.244581041014
2022-07-08,0.13024202787368713,0.014863794521725244,0.020381862418776205,264.79,268.1,263.285,267.66,266.342328165322,19658751.0,260.3025420516421,260.3025420516421,277.0230898776163,295.4542024541213,273.228261479616,241.067370624415,313.093255439457,241.067370624415,339.886189703787,223.244581041014
2022-07-07,0.08698784212908905,-0.006497726512182599,0.016922379360612735,265.12,269.055,265.02,268.4,267.078685196041,20859874.0,260.03586139727344,260.03586139727344,277.28234507837993,295.57997666442674,273.228261479616,241.067370624415,313.093255439457,241.067370624415,339.886189703787,223.244581041014
2022-07-06,0.07156242530939087,-0.009344108570365512,0.01470601843108448,263.75,267.99,262.4,266.21,264.899466415939,23824419.0,259.7787998212341,259.7787998212341,277.6069470534031,295.6995970986507,273.228261479616,241.067370624415,313.093255439457,241.067370624415,339.886189703787,223.244581041014
2022-07-05,0.07714386077312471,-0.0009406807508814813,0.01431122895496536,256.16,262.98,254.74,262.85,261.556007465646,22971634.0,259.3260397550485,259.3260397550485,278.04081156262,295.8576516057128,273.228261479616,241.067370624415,313.093255439457,241.067370624415,339.886189703787,223.244581041014
2022-07-04,0.012317493576250919,-0.010026097337253381,0.011210365902560564,256.16,262.98,254.74,262.85,261.556007465646,22971634.0,259.3260397550485,259.3260397550485,278.04081156262,295.8576516057128,273.228261479616,241.067370624415,313.093255439457,241.067370624415,339.886189703787,223.244581041014
2022-07-03,-0.22358754347069812,-0.012653285564114686,0.011204051440528698,256.16,262.98,254.74,262.85,261.556007465646,22971634.0,259.3260397550485,259.3260397550485,278.04081156262,295.8576516057128,273.228261479616,241.067370624415,313.093255439457,241.067370624415,339.886189703787,223.244581041014
2022-07-02,-0.05061954453876789,0.006332286427555835,0.016381346080884353,256.16,262.98,254.74,262.85,261.556007465646,22971634.0,259.3260397550485,259.3260397550485,278.04081156262,295.8576516057128,273.228261479616,241.067370624415,313.093255439457,241.067370624415,339.886189703787,223.244581041014
2022-07-01,-0.019288619363667773,0.010345858047246087,0.014149187744061266,256.39,259.77,254.61,259.58,258.302105451521,22837692.0,259.0039664771979,259.0039664771979,278.4422354854042,296.0588737104556,273.228261479616,241.067370624415,313.093255439457,241.067370624415,339.886189703787,221.967555125983
2022-06-30,0.06706316772180869,0.015726536128684573,0.015627095162651393,257.05,259.53,252.9,256.83,255.565643513037,31730868.0,258.82153568129894,258.82153568129894,278.840437618536,296.2743877325267,273.228261479616,241.067370624415,313.093255439457,241.067370624415,339.886189703787,221.004827956151
2022-06-29,0.13038642004577908,0.021180586870895687,0.016511644693278513,257.59,261.97,255.76,260.26,258.978757858128,20069839.0,259.1313528289173,259.1313528289173,279.315435518108,296.47871583555474,273.228261479616,241.067370624415,313.093255439457,241.067370624415,339.886189703787,220.385931918402
2022-06-28,0.013545944668521409,0.007536525640822764,0.013791708775840244,263.98,266.91,256.32,256.48,255.217366539048,27380247.0,259.1513687110375,259.1513687110375,279.7098429396219,296.6521352176608,273.228261479616,241.067370624415,313.093255439457,241.067370624415,339.886189703787,212.625172079963
2022-06-27,-0.006072824011778217,0.010492795747865418,0.013956596041882856,268.205,268.3,263.28,264.89,263.585964685467,24615114.0,259.2841906761273,259.2841906761273,280.2628170409695,296.8380332595865,273.228261479616,241.067370624415,313.093255439457,241.067370624415,339.886189703787,208.901972106839
2022-06-26,-0.09068853952900445,0.013918507666808284,0.015727722663182526,268.205,268.3,263.28,264.89,263.585964685467,24615114.0,259.2841906761273,259.2841906761273,280.2628170409695,296.8380332595865,273.228261479616,241.067370624415,313.093255439457,241.067370624415,339.886189703787,208.901972106839
2022-06-25,-0.022524543200936133,0.03859110851592547,0.019277774432832816,268.205,268.3,263.28,264.89,263.585964685467,24615114.0,259.2841906761273,259.2841906761273,280.2628170409695,296.8380332595865,273.228261479616,241.067370624415,313.093255439457,241.067370624415,339.886189703787,208.901972106839
2022-06-24,0.018376127206401627,0.03459081014558979,0.019138794752364206,261.808,267.98,261.72,267.7,266.382131248063,33923231.0,258.947138760105,258.947138760105,280.6855467658306,296.9897020428384,273.228261479616,241.067370624415,313.093255439457,241.067370624415,339.886189703787,208.901972106839
2022-06-23,0.10524152291728649,0.035853687070831176,0.01895037748480143,255.57,259.37,253.63,258.86,257.585649962173,25861449.0,258.68894146006164,258.68894146006164,281.1023062371827,297.14202417957085,273.228261479616,241.067370624415,313.093255439457,241.067370624415,339.886189703787,208.901972106839
2022-06-22,0.034877991435268624,0.01548338874184985,0.018091140756500906,251.89,257.17,250.37,253.13,251.88385835944,25961215.0,259.0201022229168,259.0201022229168,281.5800860885297,297.3381804032771,273.228261479616,241.067370624415,313.093255439457,241.067370624415,339.886189703787,208.901972106839
2022-06-21,0.03423983541781998,0.008539527731760112,0.015783897392929597,250.255,254.75,249.51,253.74,252.49085537125,29928297.0,259.37852731607813,259.37852731607813,282.03147498652385,297.5675918075787,273.228261479616,241.067370624415,313.093255439457,241.067370624415,339.886189703787,208.901972106839
2022-06-20,0.01790715942082186,0.009119489762344382,0.017716330610574326,250.255,254.75,249.51,253.74,252.49085537125,29928297.0,259.37852731607813,259.37852731607813,282.03147498652385,297.5675918075787,273.228261479616,241.067370624415,313.093255439457,241.067370624415,339.886189703787,208.901972106839
2022-06-19,0.08201966641481581,-0.005407811331263031,0.020329918065988637,250.255,254.75,249.51,253.74,252.49085537125,29928297.0,259.37852731607813,259.37852731607813,282.03147498652385,297.5675918075787,273.228261479616,241.067370624415,313.093255439457,241.067370624415,339.886189703787,208.901972106839
2022-06-18,-0.050526631793285856,-0.01827407695401311,0.01563572246009789,250.255,254.75,249.51,253.74,252.49085537125,29928297.0,259.37852731607813,259.37852731607813,282.03147498652385,297.5675918075787,273.228261479616,241.067370624415,313.093255439457,241.067370624415,339.886189703787,208.901972106839
2022-06-17,0.027216265683091278,0.02681498190620733,0.018395730248045927,244.7,250.5,244.03,247.65,246.430836023843,43084780.0,260.05256738817866,260.05256738817866,282.44578800452337,297.79401766663983,273.228261479616,241.067370624415,313.093255439457,241.067370624415,339.886189703787,208.901972106839
2022-06-16,-0.03735056538558274,0.014377008106434632,0.018141456014557033,245.98,247.4174,243.02,244.97,243.764029480157,33169160.0,261.0152999591025,261.0152999591025,282.8392735549155,298.0541055301,273.228261479616,241.067370624415,313.093255439457,241.067370624415,339.886189703787,208.901972106839
2022-06-15,-0.013729035635359542,0.028998133323407112,0.022545683908636295,248.31,255.3,246.42,251.76,250.520602775541,33111729.0,262.4848337589184,262.4848337589184,283.3374867777179,298.32777462537143,273.228261479616,241.067370624415,313.093255439457,241.067370624415,339.886189703787,208.509022241601
2022-06-14,0.03829956963190987,0.03473907214685606,0.023898258397611085,243.86,245.74,241.51,244.49,243.286392487258,28651487.0,263.45782279924657,263.45782279924657,283.76476621345853,298.5761150631396,275.31281315156,241.067370624415,313.093255439457,241.067370624415,339.886189703787,208.509022241601
2022-06-13,-0.08378394823443004,0.03219584994847484,0.02511750222101165,245.11,249.0242,241.53,242.26,241.067370624415,46135788.0,264.76096023099745,264.76096023099745,284.3195644032041,298.84149334256665,287.850043474633,241.067370624415,313.093255439457,241.067370624415,339.886189703787,208.509022241601
2022-06-12,-0.00804419294443472,0.052696234128510176,0.02539664598045818,245.11,249.0242,241.53,242.26,241.067370624415,46135788.0,264.76096023099745,264.76096023099745,284.3195644032041,298.84149334256665,287.850043474633,241.067370624415,313.093255439457,241.067370624415,339.886189703787,208.509022241601
2022-06-11,0.2650967802282572,0.05157654300642669,0.025122469714684702,245.11,249.0242,241.53,242.26,241.067370624415,46135788.0,264.76096023099745,264.76096023099745,284.3195644032041,298.84149334256665,287.850043474633,241.067370624415,313.093255439457,241.067370624415,339.886189703787,208.509022241601
2022-06-10,-0.05984955091531762,0.015438154361717795,0.015704407991661107,260.58,260.58,252.53,252.99,251.744547569845,31445841.0,265.90810002585823,265.90810002585823,284.9136902633628,299.1148520227387,287.850043474633,251.316664430373,313.093255439457,251.316664430373,339.886189703787,208.509022241601
2022-06-09,0.06499731113322461,0.014235418169616232,0.019098812253058574,267.78,272.7081,264.63,264.79,263.486456978613,26439728.0,267.10003558316726,267.10003558316726,285.3943082458512,299.34926124520297,287.850043474633,251.316664430373,313.093255439457,251.316664430373,339.886189703787,208.509022241601
2022-06-08,0.02645753612878312,-0.011847668369910207,0.01655632859480648,271.71,273.0,269.61,270.41,269.078790103806,17372341.0,267.6884769145496,267.6884769145496,285.83229774753244,299.5279767495555,287.850043474633,251.316664430373,313.093255439457,251.316664430373,339.886189703787,208.509022241601
