,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,30_day_MA,50_day_MA,100_day_MA,200_day_MA,4_week_high,4_week_low,10_week_high,10_week_low,52_week_high,52_week_low
2021-10-04,287.4,287.75,280.25,283.11,279.938140647229,31350747,0.0,1.0,294.0064058177111,294.0064058177111,275.0998031377197,254.23756899276893,301.800428414211,278.761472965514,301.800428414211,261.547026122548,301.800428414211,165.51732278877
2021-10-01,282.1217,289.98,281.29,289.1,285.861030910649,30086280,0.0,1.0,294.70680324730307,294.70680324730307,274.65368132939506,253.91495387014854,301.800428414211,278.761472965514,301.800428414211,261.547026122548,301.800428414211,165.51732278877
2021-09-30,285.71,287.83,281.62,281.92,278.761472965514,32343635,0.0,1.0,294.9596055195369,294.9596055195369,274.2195191828489,253.53742814863637,301.800428414211,278.761472965514,301.800428414211,261.547026122548,301.800428414211,165.51732278877
2021-09-29,285.1,286.77,283.01,284.0,280.818169417587,26353696,0.0,1.0,295.24998205387607,295.24998205387607,273.8657065764998,253.19574404798198,301.800428414211,280.343547159416,301.800428414211,261.547026122548,301.800428414211,165.51732278877
2021-09-28,289.795,290.78,282.75,283.52,280.343547159416,43186237,0.0,1.0,295.5306868003036,295.5306868003036,273.5433153348275,252.83915930415068,301.800428414211,280.343547159416,301.800428414211,259.188346051485,301.800428414211,163.577628587312
2021-09-27,296.14,296.47,292.9449,294.17,290.874228512576,23571742,0.0,1.0,295.87721499031625,295.87721499031625,273.19878998643594,252.47148913872584,301.800428414211,287.472768995687,301.800428414211,256.030280684373,301.800428414211,163.577628587312
2021-09-24,298.23,299.8,296.93,299.35,295.996193715333,14998978,0.0,1.0,295.81515156863554,295.81515156863554,272.7168589697431,252.05745276437898,301.800428414211,287.472768995687,301.800428414211,256.030280684373,301.800428414211,163.577628587312
2021-09-23,298.845,300.9,297.5339,299.56,296.203840953283,18604601,0.0,1.0,295.48235057023766,295.48235057023766,272.19670538332207,251.63848555067648,301.800428414211,287.472768995687,301.800428414211,254.007145058566,301.800428414211,163.577628587312
2021-09-22,296.725,300.22,294.51,298.58,295.234820509518,26626342,0.0,1.0,295.04854396651285,295.04854396651285,271.71454966161133,251.21003167868162,301.800428414211,287.472768995687,301.800428414211,254.007145058566,301.800428414211,163.577628587312
2021-09-21,295.69,297.54,294.07,294.8,291.497170226425,22364103,0.0,1.0,294.6302608219841,294.6302608219841,271.24523495216835,250.78676674003768,301.800428414211,286.012163763397,301.800428414211,254.007145058566,301.800428414211,163.577628587312
