,open,high,low,close,adjusted_close,volume,dividend_amount
2022-04-29,273.29,290.98,270.0,277.52,275.4816,211924047,0.0
2022-04-22,278.91,293.3,273.38,274.03,272.0172,124741446,0.0
2022-04-14,291.79,292.61,279.32,279.83,277.7746,115664768,0.0
2022-04-08,310.09,315.11,296.28,296.97,294.7887,143204193,0.0
2022-04-01,304.33,315.95,304.33,309.42,307.1473,148667745,0.0
2022-03-25,298.89,305.5,294.9,303.68,301.4494,128192615,0.0
2022-03-18,280.34,301.0,275.82,300.43,298.2233,175744631,0.0
2022-03-11,288.53,289.69,270.0,280.07,278.0128,184358475,0.0
2022-03-04,294.31,303.13,287.165,289.86,287.7309,157402366,0.0
2022-02-25,285.0,297.63,271.52,297.31,295.1262,168916893,0.0
2022-02-18,293.77,300.87,286.305,287.93,285.8151,160446684,0.62
2022-02-11,306.17,311.93,294.22,295.04,292.2678,176800964,0.0
2022-02-04,308.95,315.12,299.96,305.94,303.0654,202857381,0.0
2022-01-28,292.2,308.5,276.05,308.26,305.3636,352537899,0.0
2022-01-21,304.07,313.9093,295.61,296.03,293.2485,180568678,0.0
2022-01-14,309.485,323.41,303.75,310.2,307.2854,193141391,0.0
2022-01-07,335.35,338.0,310.09,314.04,311.0893,174012812,0.0
2021-12-31,335.46,344.3,335.43,336.32,333.16,84417803,0.0
2021-12-23,320.05,336.39,317.57,334.69,331.5453,97516470,0.0
2021-12-17,340.68,343.79,317.25,323.8,320.7576,191737796,0.0
2021-12-10,323.95,343.0,319.23,342.54,339.3215,146125332,0.0
2021-12-03,334.94,339.28,318.03,323.01,319.975,177395495,0.0
2021-11-26,344.62,349.67,328.12,329.68,326.5824,107337225,0.0
2021-11-19,337.54,345.1,334.034,343.11,339.8862,101090157,0.62
2021-11-12,337.3,338.72,329.92,336.72,332.9475,106622220,0.0
2021-11-05,331.355,338.79,326.37,336.06,332.2949,120621826,0.0
2021-10-29,309.36,332.0,306.46,331.62,327.9047,159314433,0.0
2021-10-22,303.57,311.09,302.69,309.16,305.6963,91315937,0.0
2021-10-15,292.92,304.45,292.35,304.21,300.8017,113344507,0.0
2021-10-08,287.4,296.6409,280.25,294.85,291.5466,122462501,0.0
2021-10-01,296.14,296.47,281.29,289.1,285.861,155541590,0.0
2021-09-24,296.33,300.9,289.52,299.35,295.9962,120872685,0.0
2021-09-17,297.55,305.32,294.08,299.87,296.5104,134785958,0.0
2021-09-10,301.005,302.14,295.38,295.71,292.397,71791265,0.0
2021-09-03,301.115,305.19,300.18,301.14,297.7661,92659391,0.0
2021-08-27,303.245,305.65,296.83,299.72,296.362,101283798,0.0
2021-08-20,293.19,305.84,288.64,304.36,300.9501,135072369,0.56
2021-08-13,289.75,292.9,285.2,292.85,289.0123,80543547,0.0
2021-08-06,286.36,289.63,283.74,289.46,285.6668,80827209,0.0
2021-07-30,289.0,290.15,282.95,284.91,281.1764,129074080,0.0
2021-07-23,278.9335,289.99,274.45,289.67,285.874,129711825,0.0
2021-07-16,279.157,284.1,276.58,280.75,277.0709,116956560,0.0
2021-07-09,278.03,280.6945,274.3,277.94,274.2977,103360847,0.0
2021-07-02,266.185,278.0,265.91,277.65,274.0115,104384023,0.0
2021-06-25,259.82,267.85,257.92,265.02,261.547,117966870,0.0
2021-06-18,257.9,262.3,254.42,259.43,256.0303,128993727,0.0
2021-06-11,249.98,258.4868,249.81,257.89,254.5105,107035149,0.0
2021-06-04,251.23,251.65,243.0,250.79,247.5035,93208820,0.0
2021-05-28,247.785,252.94,247.51,249.68,246.4081,99588636,0.0
2021-05-21,246.55,248.33,238.6,245.17,241.9572,114541724,0.56
2021-05-14,250.87,251.73,238.07,248.15,244.3353,153151228,0.0
2021-05-07,253.4,254.35,244.69,252.46,248.579,127807942,0.0
2021-04-30,261.66,263.19,249.0,252.18,248.3033,169214799,0.0
2021-04-23,260.19,261.78,255.64,261.15,257.1355,114067956,0.0
2021-04-16,254.71,261.0,254.62,260.74,256.7318,124563138,0.0
2021-04-09,242.76,255.99,242.7,255.85,251.9169,130514397,0.0
2021-04-01,236.59,242.84,231.1,242.35,238.6245,123980920,0.0
2021-03-26,230.27,241.05,230.14,236.48,232.8447,146927214,0.0
2021-03-19,234.96,240.055,229.3496,230.35,226.8089,164979946,0.0
2021-03-12,231.37,239.17,227.13,235.75,232.1259,150656031,0.0
2021-03-05,235.9,237.47,224.26,231.6,228.0397,168775377,0.0
2021-02-26,237.42,237.93,227.88,232.38,228.8077,169414358,0.0
2021-02-19,245.03,246.13,240.18,240.97,237.2657,90368267,0.56
2021-02-12,243.15,245.92,240.81,244.99,240.672,100112782,0.0
